Score,Number of games,,,
0.5,1,,,
0.7,1,,,
0.8,1,,,
1,32,,,
1.1,1,,,
1.2,4,,,
1.3,1,,,
1.4,1,,,
1.5,21,,,
1.7,3,,,
1.8,1,,,
1.9,6,,,
2,149,,,
2.1,15,,,
2.2,14,,,
2.3,14,,,
2.4,6,,,
2.5,96,,,
2.6,5,,,
2.7,9,,,
2.8,11,,,
2.9,12,,,
3,287,,,
3.1,13,,,
3.2,16,,,
3.3,22,,,
3.4,15,,,
3.5,207,,,
3.6,16,,,
3.7,17,,,
3.8,41,,,
3.9,17,,,
4,507,,,
4.1,27,,,
4.2,37,,,
4.3,38,,,
4.4,19,,,
4.5,362,,,
4.6,34,,,
4.7,33,,,
4.8,93,,,
4.9,79,,,
5,761,,,
5.1,65,,,
5.2,91,,,
5.3,81,,,
5.4,48,,,
5.5,508,,,
5.6,54,,,
5.7,68,,,
5.8,126,,,
5.9,100,,,
6,951,,,
6.1,73,,,
6.2,135,,,
6.3,100,,,
6.4,97,,,
6.5,723,,,
6.6,88,,,
6.7,138,,,
6.8,283,,,
6.9,171,,,
7,1506,,,
7.1,124,,,
7.2,217,,,
7.3,206,,,
7.4,209,,,
7.5,1036,,,
7.6,171,,,
7.7,225,,,
7.8,422,,,
7.9,346,,,
8,1645,,,
8.1,148,,,
8.2,278,,,
8.3,265,,,
8.4,289,,,
8.5,966,,,
8.6,167,,,
8.7,208,,,
8.8,287,,,
8.9,192,,,
9,843,,,
9.1,123,,,
9.2,133,,,
9.3,133,,,
9.4,106,,,
9.5,207,,,
9.6,48,,,
9.7,26,,,
9.8,17,,,
9.9,6,,,
10,40,,,
